algorithm,fid,dim,max_iter,fes,seed,fbest,secs
PSO,1,30,500,15030,64,1582381621.8131068,0.2464275360107422
PSO,1,30,500,15030,65,6252607578.675577,0.24331903457641602
PSO,1,30,500,15030,66,1026805794.3677796,0.24530577659606934
PSO,1,30,500,15030,67,652232762.7890426,0.2471170425415039
PSO,1,30,500,15030,68,2505090546.8604703,0.27614712715148926
PSO,1,30,500,15030,69,1257.7932623358745,0.2477855682373047
PSO,1,30,500,15030,70,4937.673083902164,0.28134679794311523
PSO,1,30,500,15030,71,2402710303.024086,0.2504396438598633
GA,1,30,500,15030,42,5971089.3438648,1.777505874633789
GA,1,30,500,15030,43,20419573.21864369,1.688164234161377
GA,1,30,500,15030,44,18831005.195720695,1.4114990234375
GA,1,30,500,15030,45,15827338.840997152,1.7702627182006836
GA,1,30,500,15030,46,12892494.66847481,1.828495740890503
GA,1,30,500,15030,47,11989234.011442125,1.6308999061584473
GA,1,30,500,15030,48,15937679.299421715,1.7888262271881104
GA,1,30,500,15030,49,26400523.01048894,1.70045804977417
GA,1,30,500,15030,50,22282087.127096947,1.5697903633117676
GA,1,30,500,15030,51,7352586.815843271,1.715151071548462
GA,1,30,500,15030,52,15956048.24228095,1.6817073822021484
GA,1,30,500,15030,53,32667962.430812005,1.6561439037322998
GA,1,30,500,15030,54,17939708.571684763,1.9288949966430664
GA,1,30,500,15030,55,15116843.513447205,1.583103895187378
GA,1,30,500,15030,56,25103905.137680613,1.8137593269348145
GA,1,30,500,15030,57,14501648.902920946,1.6385564804077148
GA,1,30,500,15030,58,36597432.249071635,1.5697290897369385
GA,1,30,500,15030,59,22588190.505332224,1.611642837524414
GA,1,30,500,15030,60,19570600.701597072,1.6154868602752686
GA,1,30,500,15030,61,20045448.684777897,1.6170654296875
GA,1,30,500,15030,62,15560490.74187062,1.5529353618621826
GA,1,30,500,15030,63,18771397.43991243,1.6616954803466797
GA,1,30,500,15030,64,19456223.957239907,1.736027479171753
GA,1,30,500,15030,65,11108916.988244643,1.5575246810913086
GA,1,30,500,15030,66,19312252.88737461,1.6038353443145752
GA,1,30,500,15030,67,38848837.45228422,1.5795862674713135
GA,1,30,500,15030,68,20627016.659191467,1.636857271194458
GA,1,30,500,15030,69,14148873.31126358,1.6638271808624268
GA,1,30,500,15030,70,16063283.229865499,1.6968936920166016
GA,1,30,500,15030,71,19144300.984596312,1.6434962749481201
DE,1,30,500,15030,42,736592.6355146762,1.2945995330810547
DE,1,30,500,15030,43,12351.640446662394,1.3045144081115723
DE,1,30,500,15030,44,660897538.1420004,1.0421457290649414
DE,1,30,500,15030,45,35259.4967752332,0.9283294677734375
DE,1,30,500,15030,46,29253.82182293051,0.8361356258392334
DE,1,30,500,15030,47,87358420.89875172,0.8090612888336182
DE,1,30,500,15030,48,82211.9466832963,1.2985749244689941
DE,1,30,500,15030,49,3327.8531361290516,1.2166237831115723
DE,1,30,500,15030,50,297390044.86287296,1.2725098133087158
DE,1,30,500,15030,51,19749717.55266533,1.2677185535430908
DE,1,30,500,15030,52,156406.1753435174,1.2547876834869385
DE,1,30,500,15030,53,7598059.337379012,1.3173606395721436
DE,1,30,500,15030,54,242794.99788699806,1.2530784606933594
DE,1,30,500,15030,55,99820.29412157241,1.3297991752624512
DE,1,30,500,15030,56,838551.2029487247,1.2722704410552979
DE,1,30,500,15030,57,197205.16238104503,1.3074827194213867
DE,1,30,500,15030,58,1939915.1671695306,1.2899894714355469
DE,1,30,500,15030,59,10671578.346744606,1.2873923778533936
DE,1,30,500,15030,60,156861355.06822056,1.2952282428741455
DE,1,30,500,15030,61,120227.71291567197,1.2675282955169678
DE,1,30,500,15030,62,28297.519247877535,1.2737946510314941
DE,1,30,500,15030,63,668294.6178903489,1.2689061164855957
DE,1,30,500,15030,64,155846.42776054257,1.197587013244629
DE,1,30,500,15030,65,4633667.375417383,1.201291799545288
DE,1,30,500,15030,66,81723.93394477891,1.2018535137176514
DE,1,30,500,15030,67,336748.02635598514,1.2158217430114746
DE,1,30,500,15030,68,174323.4053715227,1.1969623565673828
DE,1,30,500,15030,69,19382.333981423515,1.2160944938659668
DE,1,30,500,15030,70,36472958.74135227,1.2067525386810303
DE,1,30,500,15030,71,15537941.901505314,1.2029948234558105
GWO,1,30,500,15030,42,1772097501.4349005,1.0826761722564697
GWO,1,30,500,15030,43,2313451683.467084,1.0685391426086426
GWO,1,30,500,15030,44,2345279069.926649,1.06085205078125
GWO,1,30,500,15030,45,2394767626.645142,1.0668771266937256
GWO,1,30,500,15030,46,1457869577.2818377,1.056835651397705
GWO,1,30,500,15030,47,5186139365.738486,1.0713086128234863
GWO,1,30,500,15030,48,2611039748.8269987,1.0719218254089355
